Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
12-Feb-2022 11:01:41.568,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,-,13,14.21369832,0,8.73832417,11.44360352,0.30000001,0,24.68453217,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:43.563,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,-,13,14.21369832,0,8.73832417,11.44360352,0.30000001,0,24.68453217,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:45.563,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,-,13,14.21369832,0,8.73832417,11.44360352,0.30000001,0,24.68453217,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:47.563,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,-,13,14.21369832,0,8.73832417,11.44360352,0.30000001,0,24.68453217,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:49.563,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,0.0082263,13,14.21369832,26.10539436,8.76141834,11.41343975,0.30000001,73.74404907,24.74976921,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:51.564,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50594021,-,176.42292188,0,-,10,100,0,0.10744665,1.79077744,-,49.98358917,0.01066793,0.0082263,13,14.21369832,26.10539436,8.76141834,11.41343975,0.30000001,73.74404907,24.74976921,-,-,152,252,-,-0.48630169,11.10000038,-
12-Feb-2022 11:01:53.564,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.52282271,-,176.87732611,0,-,10,100,0,0.03653587,0.60893124,-,49.98340225,0.01078752,-,13,14.21369832,0,8.76086426,11.41416073,0.30000001,0,24.74820518,-,-,152,252,-,-0.48630169,11.19999981,-
12-Feb-2022 11:01:55.564,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.52282271,-,176.87732611,0,-,10,100,0,0.03653587,0.60893124,-,49.98340225,0.01078752,-,13,14.21369832,0,8.76086426,11.41416073,0.30000001,0,24.74820518,-,-,152,252,-,-0.48630169,11.19999981,-
12-Feb-2022 11:01:57.564,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.52282271,-,176.87732611,0,-,10,100,0,0.03653587,0.60893124,-,49.98340225,0.01078752,-,13,14.21369832,0,8.76086426,11.41416073,0.30000001,0,24.74820518,-,-,152,252,-,-0.48630169,11.19999981,-
12-Feb-2022 11:01:59.564,-,152,6,128,-,-,1,-,3,-,5,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.52282271,-,176.87732611,0,-,10,100,0,0.03653587,0.60893124,-,49.98340225,0.01078752,-,13,14.21369832,0,8.76086426,11.41416073,0.30000001,0,24.74820518,-,-,152,252,-,-0.48630169,11.19999981,-
