Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
12-Feb-2022 12:21:44.624,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.90075469,12.10900021,11.19999981,-
12-Feb-2022 12:21:45.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.90075469,12.10900021,11.19999981,-
12-Feb-2022 12:21:46.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:47.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:48.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:49.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:50.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:51.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:52.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
12-Feb-2022 12:21:53.620,-,152,6,160,64,-,1,-,3,-,5,238,-,-,-,-,-,-,-,-,-,-,-,14.06866059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,10,-,0,0,0,0,0,-,0,-,13,11.31294356,0,0,∞,0.41999999,0,0,-,-,152,252,70.19607544,-,0,0,-2.75571704,12.10900021,11.19999981,-
