Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
26-Feb-2022 12:29:03.807,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.71227217,21.22074318,-,0,13.31150341,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
26-Feb-2022 12:29:04.798,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.71227217,21.22074318,-,0,13.31150341,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
26-Feb-2022 12:29:05.798,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.7099824,21.23106003,-,0,13.30503464,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
26-Feb-2022 12:29:06.799,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.7099824,21.23106003,-,0,13.30503464,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.30000019,-
26-Feb-2022 12:29:07.798,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.7099824,21.23106003,-,0,13.30503464,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.30000019,-
26-Feb-2022 12:29:08.798,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.70771694,21.24127769,-,0,13.29863548,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.30000019,-
26-Feb-2022 12:29:09.799,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.70547533,21.25139618,-,0,13.29230309,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.30000019,-
26-Feb-2022 12:29:10.799,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.70325661,21.2614212,-,0,13.28603554,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
26-Feb-2022 12:29:11.799,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.70106077,21.27135086,-,0,13.27983284,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
26-Feb-2022 12:29:12.799,-,190,6,128,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,9,-,0,0,-,-,-,-,-,-,9,14.79384928,0,4.70106077,21.27135086,-,0,13.27983284,-,-,190,0,11.37254906,-,-,-,0.09384926,-,11.5,-
