Device Time, 0-100kph Time(s),0902,0903,0904,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),vin message count,Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
16-Jan-2022 17:51:34.703,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.18011355,129.5866394,109.32575226,37.28227234,4.70588255,32,18.8235302,819,2.11063051,35.17717361,4429.45263672,49.59354401,0.26419538,-,8,14.64881134,15,-,-,152,48,-,-0.05118847,-,12.80000019,80
16-Jan-2022 17:51:36.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.18011355,129.5866394,109.32575226,37.28227234,4.70588255,32,19.2156868,819,2.11063051,35.17717361,4269.91113281,49.59354401,0.26419538,-,9,14.64881134,15,-,-,152,48,-,-0.05118847,-,12.80000019,80
16-Jan-2022 17:51:38.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.19186771,129.5866394,109.28913879,37.28227234,4.70588255,33,19.2156868,819,2.09027624,34.8379364,4269.91113281,49.58949661,0.26682681,-,9,14.64881134,14.82999992,-,-,152,48,-,-0.05118847,-,12.80000019,80
16-Jan-2022 17:51:40.701,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.19186771,129.5866394,109.28913879,37.28227234,4.70588255,33,19.2156868,824,2.09027624,34.8379364,4333.72753906,49.58949661,0.26682681,-,9,14.64881134,14.82999992,-,-,152,48,-,-0.05118847,-,12.80000019,80
16-Jan-2022 17:51:42.701,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.19186771,129.5866394,109.28913879,37.28227234,4.70588255,33,19.2156868,824,2.09027624,34.8379364,4333.72753906,49.58949661,0.26682681,-,9,14.64881134,14.82999992,-,-,152,48,-,-0.05118847,-,12.80000019,80
16-Jan-2022 17:51:44.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.2040242,129.5866394,109.25238037,37.28227234,4.70588255,33,19.2156868,879,2.24250126,37.37502289,4365.63574219,49.58531189,0.26954833,-,9,14.64881134,15.90999985,-,-,152,48,-,-0.05118847,-,12.80000019,81
16-Jan-2022 17:51:46.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.2040242,129.5866394,109.25238037,37.28227234,4.70588255,33,19.2156868,879,2.24250126,37.37502289,4365.63574219,49.58531189,0.26954833,-,9,14.64881134,15.90999985,-,-,152,48,-,-0.05118847,-,12.80000019,81
16-Jan-2022 17:51:48.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.21573734,129.5866394,109.2161026,37.28227234,4.70588255,33,19.2156868,821,2.09732366,34.95539474,4365.63574219,49.58127594,0.27217057,-,9,14.64881134,14.88000011,-,-,152,48,-,-0.05118847,-,12.80000019,79
16-Jan-2022 17:51:50.701,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.21573734,129.5866394,109.2161026,37.28227234,4.70588255,33,19.2156868,821,2.09732366,34.95539474,4461.36083984,49.58127594,0.27217057,-,9,14.64881134,14.88000011,-,-,152,48,-,-0.05118847,-,12.80000019,79
16-Jan-2022 17:51:52.702,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,∞,1.22722363,129.5866394,109.18016815,37.28227234,4.70588255,33,19.2156868,838,2.12128496,35.35475159,4461.36083984,49.5773201,0.27474204,-,9,14.64881134,15.05000019,-,-,152,48,-,-0.05118847,-,12.80000019,79
