Device Time, 0-100kph Time(s),0100,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
23-Jan-2022 19:26:22.494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,-,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:24.492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,-,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:26.493,-,152,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,-,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:28.493,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,-,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:30.492,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,-,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:32.493,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,12,27.05882454,862,-,-,4844.26025391,-,-,-,9,14.64881134,16.02000046,-,-,152,-,-,-0.05118847,12.80000019,-
23-Jan-2022 19:26:34.492,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,13,26.66666794,841,-,-,4844.26025391,-,-,-,9,14.64881134,15.82999992,-,-,152,48,-,-0.05118847,12.80000019,80
23-Jan-2022 19:26:36.493,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,13,26.66666794,841,-,-,4461.36083984,-,-,-,9,14.64881134,15.82999992,-,-,152,48,-,-0.05118847,12.80000019,80
23-Jan-2022 19:26:38.496,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,13,26.66666794,841,-,-,4461.36083984,-,-,-,9,14.64881134,15.82999992,-,-,152,48,-,-0.05118847,12.80000019,80
23-Jan-2022 19:26:40.496,-,152,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,13,26.66666794,841,-,-,4461.36083984,-,-,-,9,14.64881134,15.82999992,-,-,152,48,-,-0.05118847,12.80000019,80
