Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),,,,,
58:44.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4397.544434,-,-,-,31,14.93888664,13.52000046,-,-,152,48,-,0.23888683,12.69999981,-,,,,,
58:46.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4397.544434,-,-,0.07282685,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:48.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,0.07282685,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:50.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,0.07282685,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:52.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:54.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:56.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
58:58.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
59:00.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.82999992,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
59:02.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,819,-,-,4333.727539,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:04.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:06.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:08.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:10.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:12.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:14.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:16.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:18.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:20.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:22.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:24.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:26.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:28.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:30.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:32.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:34.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
