Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
13-Mar-2022 23:12:22.806,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:23.749,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:24.749,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:25.748,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:26.748,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:27.748,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:28.750,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:29.749,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:30.749,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
13-Mar-2022 23:12:31.749,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,6,-,0,-,0,-,-,-,94.2745297,-,-,-,8,14.5037738,0,8.72713184,11.45827961,0,0,24.65291405,-,-,152,48,0,-,-,-,-,-,-0.19622622,-,11,-
