Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,900,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,920,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),pids supported 01-20
22:43.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,126.1828321,-,-,-,7,14.64881154,0,8.63187027,11.58473396,0,0,24.38381386,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:44.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,126.1828321,-,-,-,7,14.64881154,0,8.63187027,11.58473396,0,0,24.38381386,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:45.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,126.1828321,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:46.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,126.1828321,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:47.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:48.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:49.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:50.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:51.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
22:52.5,-,2554003456,6,2685927424,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,4,-,0,-,0,-,-,-,94.2745297,-,-,-,7,14.64881154,0,8.63135529,11.58542442,0,0,24.38236046,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,152
