Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0900,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,0920,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Wide Range Current(mA),O2 Sensor1 Wide Range Equivalence Ratio(λ),O2 Sensor2 Voltage(V),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),pids supported 01-20,service 09 pids supported
31-Mar-2022 21:25:16.444,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.6966753,11.49840736,0,0,24.56688118,-,-,-,-,-,0,-,-,-,-,-,-,-,10.89999962,-,-,-
31-Mar-2022 21:25:17.442,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,-,-
31-Mar-2022 21:25:18.443,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,-,-
31-Mar-2022 21:25:19.442,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,-,-
31-Mar-2022 21:25:20.443,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,-,-
31-Mar-2022 21:25:21.442,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.89999962,-,-,-
31-Mar-2022 21:25:22.442,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.80000019,-,-,-
31-Mar-2022 21:25:23.443,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.80000019,-,-,-
31-Mar-2022 21:25:24.443,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.80000019,-,-,-
31-Mar-2022 21:25:25.442,-,2554003456,6,2685927424,-,-,805306368,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,8,-,0,-,0,-,-,-,94.2745297,-,-,-,-,-,9,14.64881154,0,8.69639397,11.49878025,0,0,24.56608391,-,-,-,-,-,0,-,-,-,-,-,-0.05118848,-,10.80000019,-,-,-
